"term","package","description","title"
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters","New Functions in Week 9"
"complete.cases","stats","Find Complete Cases",""
"with","base","evaluate expression in the context of a data frame",""
"t.test","stats","Performs one and two sample t-tests on vectors of data.",""
"prop.test","stats","Test of Equal or Given Proportions",""
